53,현대글로비스,"177,500","1,000",+0.57%,500,"66,562","37,500",33.80,"68,527",9.87,12.45,
54,F&F,"867,000","1,000",-0.12%,500,"66,424","7,661",12.36,"31,026",N/A,N/A,
55,LG디스플레이,"18,050",150,-0.82%,"5,000","64,586","357,816",16.10,"2,204,369",5.43,-0.79,
56,LG유플러스,"14,700",50,-0.34%,"5,000","64,182","436,611",34.28,"843,307",11.09,6.46,
57,SKC,"168,000","4,000",+2.44%,"5,000","63,619","37,868",13.55,"423,559",146.09,2.21,
58,강원랜드,"29,050",100,-0.34%,500,"62,150","213,940",19.59,"805,458",-66.02,-7.92,
59,현대제철,"46,350",400,-0.86%,"5,000","61,852","133,446",20.86,"432,783",25.61,-2.59,
60,코웨이,"83,700",600,-0.71%,500,"61,770","73,800",59.83,"156,113",14.50,31.51,
61,CJ제일제당,"406,500","3,500",-0.85%,"5,000","61,195","15,054",24.25,"28,190",14.17,13.50,
62,현대건설,"50,900",200,-0.39%,"5,000","56,680","111,356",21.58,"314,492",45.94,1.84,
63,한국타이어앤테크놀로지,"45,200",700,+1.57%,500,"55,992","123,875",41.82,"119,088",9.07,5.12,
64,미래에셋증권,"8,740",20,+0.23%,"5,000","55,527","635,316",13.49,"700,596",6.64,8.94,
65,금호석유,"180,500","1,000",+0.56%,"5,000","54,994","30,468",20.08,"144,452",4.27,20.18,
66,일진머티리얼즈,"117,000","6,500",+5.88%,500,"53,950","46,111",10.92,"857,723",113.37,7.23,
67,KODEX 200,"39,625",330,+0.84%,0,"52,543","132,600",2.88,"2,050,939",N/A,N/A,
68,맥쿼리인프라,"12,950",50,-0.38%,0,"52,427","404,846",14.03,"658,111",N/A,N/A,
69,현대중공업지주,"63,900",200,-0.31%,"1,000","50,477","78,993",17.59,"88,342",-14.76,-8.12,
70,삼성엔지니어링,"25,000",200,-0.79%,"5,000","49,000","196,000",33.08,"1,208,852",15.52,17.32,
71,한국금융지주,"86,900",200,+0.23%,"5,000","48,426","55,726",35.28,"89,987",4.13,16.27,
72,에스디바이오센서,"46,400",500,+1.09%,500,"47,918","103,271",3.05,"314,534",7.03,139.97,
73,오리온,"119,500","2,000",+1.70%,500,"47,246","39,536",39.30,"43,054",19.60,15.50,
74,LG이노텍,"197,000","3,500",-1.75%,"5,000","46,624","23,667",26.48,"240,153",8.53,10.20,
75,DB손해보험,"65,300",0,0.00%,500,"46,232","70,800",42.79,"76,010",6.70,9.08,
76,이마트,"162,500","1,000",+0.62%,"5,000","45,298","27,876",34.14,"99,397",8.02,4.05,
77,메리츠금융지주,"33,450",50,+0.15%,500,"44,827","134,011",8.36,"80,280",7.25,16.06,
78,유한양행,"63,200",900,+1.44%,"1,000","44,223","69,973",18.11,"159,485",45.96,11.06,
79,한국가스공사,"46,900","1,400",-2.90%,"5,000","43,295","92,313",9.30,"922,989",17.18,-2.24,
80,삼성증권,"48,150",550,+1.16%,"5,000","42,998","89,300",30.13,"175,717",4.70,9.89,
81,아모레G,"52,000",0,0.00%,500,"42,878","82,458",16.68,"104,974",33.12,0.31,
82,GS,"45,300",50,-0.11%,"5,000","42,091","92,915",19.31,"114,456",5.15,-2.82,
83,한솔케미칼,"362,500",500,+0.14%,"5,000","41,090","11,335",41.59,"66,044",28.86,24.50,
84,삼성카드,"35,200",100,+0.28%,"5,000","40,782","115,859",8.00,"125,102",8.90,5.69,
85,한미사이언스,"60,100","1,100",+1.86%,500,"40,450","67,305",1.70,"49,115",132.38,3.47,
86,두산밥캣,"39,250",100,+0.26%,500,"39,348","100,249",25.86,"89,007",10.33,6.15,
